time_utc,ra_obs_deg,dec_obs_deg,ra_pred_deg,dec_pred_deg,res_ra_arcsec,res_dec_arcsec,sigma_arcsec
2018-04-03T11:44:59.712,131.12329166666663,30.912916666666664,131.12321794705963,30.91298524943095,0.22769145371845473,-0.24689795142762705,0.5
2018-04-03T14:53:30.336,131.13595833333332,30.903527777777775,131.1361313928645,30.90340298349943,-0.5345677137071503,0.4492594020447882,0.5
2018-04-03T18:02:00.096,131.14941666666664,30.893666666666665,131.1492171349439,30.893761990962247,0.6164003660120861,-0.34316746409643883,0.5
2018-04-03T21:10:29.856,131.1620833333333,30.884166666666665,131.16247958367916,30.884062159218765,-1.224234385637634,0.37622681244329215,0.5
2018-04-03T22:44:45.600,131.16954166666662,30.878972222222224,131.16917775900896,30.879187328264482,1.124367314510501,-0.7743817521301821,0.5
2018-04-04T00:19:00.480,131.1758333333333,30.87441666666667,131.17592314133987,30.874303357963967,-0.27749439145531507,0.4079113297251524,0.5
2018-04-04T01:53:15.360,131.18270833333332,30.869555555555557,131.18270902159742,30.869401972803633,-0.002126750174767048,0.5528979069268303,0.5
2018-04-04T03:27:19.008,131.18954166666666,30.864583333333336,131.1895226034353,30.864517659266788,0.058908777512828206,0.23642663957161858,0.5
2018-04-04T03:27:30.240,131.18895833333332,30.864305555555557,131.1895390987429,30.86448588489916,-1.794669068052338,-0.6491856369720495,0.5
2018-04-04T05:01:34.752,131.1965833333333,30.859527777777778,131.19639749971304,30.85958403777175,0.5742885095123856,-0.20253597829906766,0.5
