site,n,median_dx_a_q1,median_dy_a_q1,rms_a_q1,median_dx_a_q2,median_dy_a_q2,rms_a_q2,median_dx_b_q1,median_dy_b_q1,rms_b_q1,median_dx_b_q2,median_dy_b_q2,rms_b_q2
Z22,8,-0.2514972866559577,0.032634993071656154,0.2517081383901229,-1079.8819547509236,-149.66036201950226,1090.0491244935117,,,,,,
B50,1,-0.35890933086845533,0.03227744978118785,0.3603573758558666,-1082.0143403541024,-154.1712789997431,1092.8242787345398,,,,,,
D29,1,0.03298938232901342,0.18164030363367195,0.18456872286695758,-1077.339175598727,-250.81039026314377,1105.9318469726188,,,,,,
