t_utc,ra_deg,dec_deg,sigma_arcsec,site
2018-04-03T11:44:59.712,131.12329166666663,30.912916666666664,0.5,C51
2018-04-03T14:53:30.336,131.13595833333332,30.903527777777775,0.5,C51
2018-04-03T18:02:00.096,131.14941666666664,30.893666666666665,0.5,C51
2018-04-03T21:10:29.856,131.1620833333333,30.884166666666665,0.5,C51
2018-04-03T22:44:45.600,131.16954166666662,30.878972222222224,0.5,C51
2018-04-04T00:19:00.480,131.1758333333333,30.87441666666667,0.5,C51
2018-04-04T01:53:15.360,131.18270833333332,30.869555555555557,0.5,C51
2018-04-04T03:27:19.008,131.18954166666666,30.864583333333336,0.5,C51
2018-04-04T03:27:30.240,131.18895833333332,30.864305555555557,0.5,C51
2018-04-04T05:01:34.752,131.1965833333333,30.859527777777778,0.5,C51
